mendemobilisasikan	demobilize||1
mengawasi jalan	oversee||1
khas bintang	stars||1
Oktober lalu	October||11 Oct||4
menceritakan suatu tak terlupakan tetapi menolak mengampuni orang lain	unforgettable||1
keamanan kurang terjamin ketidaknyamanan	security||1
warga bahan 	materials||1
terculik adalah warganegara	citizens||1
semi-teknis	semi-technical||1
angkasa	air||3 sky||1 aerospace||1 space||11
gembala	shepherds||1 shepherd||1
saja perbaikan dilakukan	improvements||1
warga miskin miskin	poor||1
mungkin tingkatkan dananya mungkin memakai	possibly||1
keributan BARGAIN-HUNTING	bargain-hunting||1
ke belakang	backward||1
menanam tanaman	plant||1
pelaksanaan cepat	quick||1
hasil-hasilnya lebih sederhana	simpler||1
traktat	treaty||1
mengambil tempat area dek	deck||1
lahan terkontrolnya kesuburan	fertility||1
menyalahkan ketentuan	faulted||1
hukum lama	law||1
juga berlaku	applies||1
lusin	dozen||9
Baja	Steel||2
kontrak pihak kontraktor pengelola	contractor||1
pandangan	outlook||4 views||18 gaze||1 sight||2 vision||3 view||44
Kasus berbeda ditemukan	case||1
seharusnya	supposedly||2 should||1 ought||8 supposed||37
posisinya semula sebagai Lapangan Kerja	Workplace||1
Taspen pensiun	Taspen||1
cenderung berdasarkan pekarangan/permukiman desa	village||1
Dia Dia	He||1
Kyu direktor Land merancang	Kyu||1
Islands kata	Islands||1
Baturaden Tengah para	Baturaden||1
pembuat aturan	regulators||3
rayon LPTK	LPTK||1
menasihati	advise||1 exhorted||2
fresh farmhouse eggs scrambled with	farmhouse||1
ratusan	hundred||2 hundreds||83
liga utama Son Moix	Moix||1
aksi kerusuhan	unrest||1 violent||1 riot||1
perikanan berbenturan	fisheries||1
alasan balik	reason||1
fractional reserve dimilikinya	fractional||1
proteksi	protection||9
meja	tables||10 desk||4 table||20 desks||2
Bab bertujuan	purpose||1
berasal kelas menengah	middle-class||2
Cuti	leave||2 Leave||1
Keadilan	Justice||31 justice||2 Equity||3
secara komersial	commercially||4
media SAFM	SAFM||1
simpatik kami para	sympathetic||1
kereta beban patung-patung	carriages||1
Dilihat sudut pandang	perspective||1
Pemain golf Lucas ketika	Lucas||1
perjalanan tanpa akhir membentang depanku	journeys||1
sekolah sekolah SD	schools||1
Jacobs sekretariat	Jacobs||1
berbagai menyakitkan penuh	painful||1
orang diduga	suspected||2
melakukan hubungan seks	sex||5
Namun penelitian	However||1
secara esensial	essentially||1
menempel padanya	attached||1
barang-barang mahal	big-ticket||1
pemain tengah	midfielder||78
juta	billion||35 million||7 millions||56
and Crusade	Crusade||1
penjajahannya	colonization||1
laptop bermanfaat bagaimana laptop menghalangi belajar mengalihkan perhatian mahasiswa	learning||1
kaldu ayam kecap kental	broth||1
tawon dilengkapi	equipped||1
dikompensasi	compensated||1
berkata bahwa	saying||5
mengucilkan Aoun didalamnya	Aoun||1
semakin meningkatkan	increase||1
Wentworth memerankan	Wentworth||1
Baxter Oh indah kualami	Baxter||1
kepentingan bunga	interest||1
malang	hapless||1
asal pejabat	officer||1
daftar kepemilikan pertanahan Pendaftaran Nasional	Register||1
uang tunai	cash||49
cedera orang mengalami cedera	injured||1
secara persis saja	exactly||1
melihat orang mengalami kemalangan	misfortune||1
pengendara kendaraan bermotor	motorists||1
bocah	boy||2
terhadap tindakan terhadap	punitive||1
bunga serta penyediaan	interest||1
tari	dance||7
Ini	This||14 It||6
cerita 	story||1
dimulainya Intifada	Intifada||1
Berdasarkan pengalaman pernah berpartisipasi musrenbangdes setelah bertahun-tahun	musrenbangdes||1
dibuat bertahap	phased||1
kedua lapisan	layers||1
Pemikiran	notion||1 idea||1
netto pendapatan 	proceeds||1
of Basic Skills of	Skills||1
suatu keunggulan	advantage||1
kerabat	relatives||10 friends||1
menguat bisa	strengthen||1
menghilangkan limitasi	removes||1
masih terjaga Burhanudin	manageable||1
penangkapan	capture||2 arrests||6 seizure||3 arrest||15
hitam fundamentalis dapat	fundamentalist||1
suatu persendian mendukung bentuknya sangat kecil	joints||1
lonceng lonceng	bells||2
sebuah presentasi formal	presentations||1
menghalangi pengangkutan perbekalan ke seberang	obstruct||1
Kedokteran Johns	Johns||1
segan	loath||1
Perbedaan selisih	difference||1
kadarnya tentu	certainly||1
Pada awal Barca	Barca||1
Swiss Swiss	Swiss||1
kali lipat limit tiga kali lipat limit	triple||1
membumbung tinggi	soaring||3
Nikai berpidato hadapan suratkabar	Nikai||1
Kenapa	Why||23
sehari Lucie	Lucie||1
Harapan umur	expected||1
mendapat serangan-serangan Mogadishu	Mogadishu||1
kebun binatang Gaza	zoo||1
beranggapan	assume||5 thought||4 suppose||1 assumes||1
Kunjungi	Visit||1
bidang tanah	land||1
diubahnya BLT oleh geuchik diberikan oleh	geuchik||1
Muba menegaskan	Muba||1
memang ada banteng	bull||1
dipandu	guided||4
tsunami	tsunamis||1
pernah mengalami	experienced||2
Untuk disukai jenis pasif	passive||1
Karanganyar Sleman panitia	Karanganyar||1
Matematika akan menuntunmu	Mathematics||1
memasukkannya tahanan	custody||1
Reorganisasi	reorganization||1
kualitatif	qualitative||98 qualitatively||1 Qualitative||2
Ketegangan-ketegangan	Tensions||1
terpentingnya adalah sang pengantin pria yaitu sendiri	Himself||1
Leher	Neck||1
wanita terbaik Sam Moudden	Moudden||1
polio	polio||2
permintaan cerai	divorce||2
seimbang mengakomodasi kepentingan menggoncangkan	balanced||1
tidak mengganggu	non-invasive||1
mensubsidi	subsidize||19
Stabilitas memberi	Stability||1
berpartisipasi politik	politically||1
dapat diekstrak gas Sedangkan carbon	extract||1
kematian aparat-aparat	deaths||1
anti AS	anti-US||1
petenis Ukraina	Ukrainian||1
bantah	denies||2
The Hound of Heaven	Heaven||1
Gerakan Terpadu	Integrated||1
kesetaraan	equality||12 equity||3
Siapapun memberi tahu	Anyone||1
Voigt urutan	Voigt||1
kitab Perjanjian Lama kitab Perjanjian	Testament||1
ketika dikhianati Bapa- Nya lalu membagikannya	betrayed||1
Ramussen sedang menyiapkan	Rasmussen||1
semakin cepat	faster||3
Berlawanan jika	contrary||1
antaranya menyandang	bore||1
satu pembagian kekuasaan	power-sharing||1
dimensi dimensi	dimensions||1
dimaksud Tn Engelken seseorang	Engelken||1
Mereka	Those||1 It||1 They||13
dipublikasikan	publicized||3 published||19
petisi	petition||3
membuat langkah-langkah berani memulai	jumpstart||1
Unison sudah	Unison||1
manajemen pengelolaan	management||1
Biayanya	Costs||1
karboran	carboran||4
gudang bidang dimasukkan ke belanja	warehouses||1
Penelitian kedokteran	Medical||1
jemaat Filipi	Philippi||1
kemiskinan struktural	structural||2
tetapi sekali penghasilnya yaitu lebah madu	honeybee||1
berganti	changing||2 changed||8 change||3 switched||1
Kenaikan BBM menekan	hikes||1
kabar Pak	sir||1
dipercepat	accelerated||2 expedited||2
obat-obat resep dokter	prescription||1
transaksi 	transactions||1
penjarahan	looting||1
diperdebatkan didirikan	erected||1
memusatkan penglihatan	vision||1
nasional kata Wieczorek-Zeul	Wieczorek-Zeul||1
sumber planet Mars	Mars||1
serba jaringan	networking||1
asing PMA Malaysia Malaysia	Malaysia||1
jiwa	life||1 souls||13 soul||12 persons||23 lives||8 potentials||1
resminya menyebutkan kanal berada	canal||1
Denda harus dibayar Times penyelesaian beban	settlement||1
masa damai	peacetime||1
mangsanya	prey||7
substansial	substantial||5
suatu tugas penuh risiko	assignment||1
diperoleh Quebecor	Quebecor||1
hasil kombinasi	resulting||1
diciptakan sana 	there||1
pedih	irritated||1
Amazon berdasarkan konstitusinya	Amazon||1
Harus pembagian tugas Untuk tweeter	tweeter||1
secara terpisah memberikan	separately||1
Sebuah meledak	detonated||1
kepada kantor DinKes kabupaten	Office||1
lerengan	ramp||1
pengelolaan TPI diperebutkan	contested||1
tak terbatas	infinite||2 boundless||2 unlimited||2
Kerusuhan	violence||2 riot||1 unrest||2 Violence||2
satu pemegang saham BMI	BMI||1
matematika	mathematical||3 mathematics||11 math||9 Mathematics||1
BSM Yuslam Fauzi	Yuslam||1
Komputer super supercomputers secara	Supercomputers||1
negara Tanduk	Horn||1
berbagi pengajaran	teachings||1
cukupnya saling kepentingan	interests||1
Menurut Anwar	Anwar||1
jurnalisme kawanan	journalism||1
Sang Artis	Artist||2
laki-laki laki-laki laki-laki	men||1
analis	analysts||128 Analysts||3 analyst||103
jadwal padat	schedule||2
Apakah	What||2 Does||25 Do||2 Would||9 Whether||13 Did||16 Is||1 Am||6 Are||1
suatu saat	someday||2
kaos	T-shirt||5 sweatshirts||1 shirts||3 T-shirts||2 shirt||1
jendela-jendela	windows||5
kartu kartu	cards||4 card||2
salah tidak sesuai	wrong||1
diamandemen	amended||1
sangat wangi	fragrant||1
pertandingan gol Aiyegbeni Yakubu	Yakubu||1
jalan raya Jakarta-Bogor	Jakarta-Bogor||1
L Shirer	Shirer||1
diveto	veto||2
kepada mereka Sebab telah tersiar kabar	them||1
para divisi	divisions||1
cetakan	prints||2
masyarakat perseorangan	individuals||1
ketika membutuhkannya lupa perlengkapan darurat mobil	forgot||1
lebih sederhana yaitu	simpler||1
kerja TKITKW	TKITKW||1
mendapat izin	sanctioned||1
perjanjian rekeningnya	agreements||1
Basis cari wikia memang	Wikia||1
karena doping	doping||1
memuncaknya	mounting||2
patut dipuji	commendable||1
foto	photographs||6 picture||3 photograph||4 photo||6 photography||2 photos||12 images||1
Debat	Debate||5
Puskesmas Pembantu Pustu	pustu||1
berbahaya anteater	anteaters||1
tentang Usaha Perikanan	Fishing||2
dikeluarkannya	issuance||1
implikasi terhadap	implications||1
lembaga satuan	units||1
Walaupun begitu hanya sedikit petisi	petitions||1
menambah	adding||14 adds||8 increase||40 add||34 increasing||11 added||25 piles||1
investasi kedua belah pihak dia menyatakan	invest||1
menambal	patch||1
biaya harus	fees||1
perku diturunkan Obi	Obi||1
berkontribusi	contributing||7 contribute||23 contributed||34 contributes||1
Specialised Training mengupayakan bantuan	Specialised||1
memberikan plakat	plaque||1
ke depan	forward||20 future||9
kembali tampil	back||1
sekadar pelengkap	complementary||1
ijin LOFSA Labuan	Labuan||1
segala hal	everything||10 things||3
bisa diaktifkan	activated||1
dram berbeda-beda cara memindahkan pasak-pasak tempat	pegs||1
Teluk	Gulf||22 Bay||6
melakukan latihan	exercise||1
Telur	eggs||2 egg||1
pecahan amphorae	amphorae||1
didatangi	visited||5
bangsa-bangsa	peoples||1 nations||4
Yogyakarta	Yogyakarta||21
menjelang migrasi	migration||1
Pengajuan	filing||3 filings||1
pelarut	solvent||1
Pemain tim Turki	Turkish||1
memberitakan Injil yaitu memberitakan dikatakan-Nya	preach||1
Para institusi	Institutional||1
bersuara lantang	outspoken||2
bebas pajak	tax-free||3
mengingat kembali	remembering||1 recall||3
menyerupai semut	ant-like||1
termasuk kuota	quota||2
datang	arrives||2 arrived||11 coming||32 come||127 incoming||5 future||1 comes||33 arrive||1 came||89
ditebus	redeemed||3
kapitalis para kapitalis kalangan sangat berkepentingan	capitalist||1
romantis Caspar	Caspar||1
pendirian lunak Departemen	Departments||1
meskipun telah melakukan kegagalan	fiasco||1
tentang penimbangan balita yaitu kesehatan	health||2
kompetisi Liga Prancis	Ligue||2
penjualan adhesif Bostik	Bostik||1
Samaria	Samaritan||1 Samaria||1
memprediksi kemundurannya seiring jatuhnya tingkat mobil diakibatkan oleh peningkatan	autos||1
miliarder	billionaire||2
pilar pilar	pillars||1
pelaksana Bapel	Bapel||1
bentuk jaminan syarat	guarantees||1
cakar hewan	claws||1
al-Mujahedeen kali Febuari	al-Mujahedeen||1
para pemangku kepentingan terkait Indonesia	stakeholders||1
stress pasca-trauma mendapati makin kuat	post-traumatic||1
Laba bersih	net||4 Net||4 earning||1
Mauritania Wauquiez	Wauquiez||1
negara Khaled	Khaled||1
Proses pembersihan mencakup	cleaning||1
Bandung	Bandung||68 Semarang-based||1
kepentingan keluarga Raskin	Raskin||1
kematian akibat akibat tewas akibat kecelakaan	death||1
bertanggungjawab	responsible||5 responsibility||1
melakukan pukulan backhand melebar	backhand||1
cukup lakukan adalah memposisikan	position||1
Roket	rockets||1 rocket||4
The Fed rencana	Fed||1
lomba	runs||1 competition||2 race||3
Apakah jarimu	Does||1
selatan	Southern||3 southern||1 south||78
analisis datanya	analyzing||1
kejar	fits||1
Pencairan	disbursement||4 Disbursement||2
lembur karyawan	overtime||1
Yadav sebagaimana	Yadav||1
tegas membatasi pengeboran lokasi-lokasi dilepas	curtailing||1
Pembayaran baik-baik saja	Payments||1
meminum	drink||3 drunk||1
lokasi mengalami lokasi	locations||1
melalui tidak terduga	unexpected||1
kemudian darurat	emergency||1
proses belajar	learning||2
Kemanusiaan UNOCHA	UNOCHA||1
campak iv bayi	measles||1
dibawa ke ke lebih besar dijual eceran	larger||1
kelompok bawah hingga kelompok masyarakat Sejahtera	Prosperous||1
bagian timur jagung	maize||1
ekstrim	extremist||3 extreme||11
pertandingan latihan antar tim papan atas menjelang	rehearsal||1
diberikan oleh para cendekiawan	scholars||1
sumber-sumber dilansir Yonhap Korsel bantuannya berupa pupuk	fertiliser||1
inflasinya	inflation||1
bermutu	Quality||1 quality||10
dapat berlubang	perforated||1
pedalaman	inland||2 interior||1
Malaysia periode	Malaysia||1
mobilisasi	mobilization||2
suasana paling gembira seluruh dunia	world||1
gas-gas beracun sedangkan	gases||1
bertambah menjadi meningkat	grew||1
bermitra dasar-dasar pemikiran	partnered||1
bersikap responsif terhadap	responsive||1
menyaksikan voyage	voyage||1
bertengger	perch||2
memilik keturunan Polandia antara	Polish||1
parfum arab pakaian	perfumes||1
pengumpul suara Reagen	pollster||1
kendala tersendiri	obstacle||2
membebaskanmu Ebenezer	Ebenezer||1
pegawai	employees||37 official||2 servant||5 officials||12 officer||6 servants||13 employee||26 staff||9
alergi cucu saya	allergies||1
menyusun timeline mengenai langkah-langkah sub sektor mode	timeline||1
lanjut dia menyebabkan kemudian memberi eskalasi biaya	escalation||1
kegeraman	wrath||1
atas nama nonvoting didapat pasar modal	nonvoting||1
the Journal	Journal||1
Tarpishchev tidak menurunkan datang	Tarpishchev||1
masih tersisa	remaining||2
paket-paket cara hadiah aktivitas	Packages||1
serupa	identical||1 like||21 similar||103 Similar||5
mogok	strike||4
sekedar	simply||4
Kurator	curator||1
bulan Maret	March||45
Volatilitas	Volatility||1
merasa percaya diri	confident||2
Pusat intelijen mengerjakan masalah-masalah Afghanistan-Pakistan	Afghan-Pakistani||1
kata dia dilaksanakan Pongkor	Pongkor||1
KUD ada efektif	KUD||1
Orang banyak	multitude||1
ada dengan firman-Nya penuh kekuasaan	power||1
sankaranthi awalnya	sankaranthi||1
digantungkan mendapat hasil diinginkan membuat Telkom	Telkom||1
hatrik	hat-trick||2
Jenazah	remains||1
mengelola mengelola	managing||1
Ketertarikan investor	Investor||1
kesepakatan	accord||9 deal||53 agreement||92 deals||3 agreements||15 decree||2
Tepi	Bank||5
Anggota politbiro	politburo||1
Keenam orang terdiri pria	men||1
sitosol	cytosol||2
aneka minuman	beverage||1
produk semen	cement||1
Bullion Ltd/	Bullion||1
teriak	chanted||1 shouted||1
erosi	erosion||2
paling berdarah	bloodiest||5
kutu fleas	fleas||1
seraya mengatakan	saying||3
bergotong royong warganya habis terbakar	burnt||1
terburu-buru	rushing||2
Jumat	Friday||272
sapi berukuran	cows||1
produk mereka sendiri	themselves||1
pelanggaran kejahatan	violations||1
krim vanilla pengunjung	cream||1
Tubuh	body||5
diberikan langsung	delivered||2
mengalokasikan	allocate||16 allocated||14 allocating||6
Lebih jauh lagi turbin	turbine||1
terdaftar	registered||27 listed||25 enrolled||14
mampu merumuskan sifatnya sustainable resource development	formulate||1
tunggakannya melalui papan pengumuman	notice-board||1
Sederhananya distorsi disebabkan traksi	distortion||1
mengadu	pitted||1 complain||3
tentara AS	soldier||1
beratus-ratus	hundreds||1
sebelumnya idA Single A Stable Outlook	idA||1
aliran	stream||1 isms||1 flow||24 sectarian||3 flows||6 streamline||1 ism||1 currents||7 inflows||1
artistik	artistic||4
menyudahi harapan Olga	Olga||1
tritunggal	triune||1
tukar	exchange||17
Bromley hal biasanya terjadi	Bromley||1
Finlandia	Finland||5 Finnish||3
misi jangka pendek	short-term||1
gelas kaca	glass||1
Terserah	Whatever||1
kelihatannya	look||1 appeared||5 seems||11 seemingly||3 looked||11 eager||1 seem||13 seemed||7
lumba-lumba berbentuk	dolphins||1
Muslim	Muslim||43 Muslims||5 muslim||1
geram	growls||1 bearish||2
kesaksian ibu	testimony||1
kontinuitas	continuity||2
debitur besar	debtors||1
Menjalani hidup masa kini perkenan	Living||1
Fiorentina	Fiorentina||23
ekstrim kejadian	extreme||1
memungkinkannya diolah menjadi pelumas	lubricating||1
makan tiga kali sehari makan	eat||1
tidak aman	insecurity||2 unsafe||3
Lembaga-lembaga pedesaan LKP	VFI||1
kallang roar	kallang||1
Jepang Taro	Taro||1
resepsi	reception||1
perdagangan trade financing AS	said||1
akselerasi laju masyarakat luas khususnya	expedite||1
timbul sebagai reaksi terhadap	springs||1
Pengujian Kapal	Vessel||1
berasal umpan ke belakang	backward||1
mengadakan Luzhkov	Luzhkov||1
lebih hangat	warmer||1
laga tandang Mames	Mames||1
Granma korban dilaporkan begitu	Granma||1
konsep-konsep tentang menajemen	concepts||1
Menilai	Judging||1
kotak sebagai wadah casing	enclosure||1
Keuntungan diraup of Duty	Duty||1
ditunjukkan sewaktu menguangkan	cashing||1
Karena	Because||2 Since||1
kewalahan memenuhi berbagai	overwhelmed||1
para profesional	professionals||4
Sung-guh pentingnya ini iklim sedemikian	climates||1
mengutamakan kebutuhan pasangan atas	spouses||1
Bild bergabung klub	Bild||1
Namun Kadin Gapensi mempersoalkannya	Gapensi||1
menyatakan pembubaran Consultative on	Consultative||1
penghasil devisa pariwisata	tourism||1
Mya dulu	Mya||1
disumbangkan	donated||3
Altintop menjalani mengalami	Altintop||1
mulai sejak kembali masih ragu-ragu lebih lanjut	hesitated||1
mengulangi klaimnya	repeated||1
tidak bersalah	innocent||1
Pengindera	sensors||1
Penetrasi	penetration||2
terbesarnya bagaimana kembalinya kekakuan dulu selama proses	rigidity||1
menyergap	intercepting||2 intercept||1 overpowered||1
fenomena biasanya	phenomena||1
keberhasilan dua tahun	two-year||1
masa-masa pencobaan	trials||2
sangat menyukai	liked||1
replika bisa kapan sedangkan terus	replica||1
kondusif peningkatan	conducive||1
sepenuhnya bencana	disaster||1
sebelumnya Furukawa	Furukawa||1
astronom berkumpul sejak	astronaut||1
hal menyisakan masalah	problematic||1
Qiwei telah	Qiwei||1
induknya	parent||1 mother||3
seraya berusaha	strive||1
tulang ikan penopang beban	load-bearing||1
keterlibatan proyek	engaging||1
bagiku	me||3
penghukuman	condemnation||2 judgment||2
terus terang saja ketika menduga	honest||1
pribadi	personal||111 private||55 person||5 Personal||1 individual||7 privately||1 personally||3
Pembangkit Listrik senilai Rockford	Rockford||1
sahabat Lazarus	Lazarus||1
Zeisler kepada	Zeisler||1
koefisien	coefficient||6
jumlah absen anak jumlah denda	fines||1
Saudi	Saudi||10 Saudia||1 Arabia||43
Wilayah Penelitian	Areas||1
Raksasa Alcoa terbesar bouksit	Alcoa||1
berisi memuat	contain||1
mengikutsertakan	includes||3 involving||2 include||2
menuju Lamongan	Lamongan||1
Cincin	ring||2 rings||2
Ota saat tepat	Ota||1
pemain bertahan	defender||32 defenders||3
memiliki sifat  sebut	nature||1
keuntungan keuntungan	returns||1
ada pahatan sangat empat	carved||1
ragam	diversity||2 variety||4
guna mendorong	promote||1
belakang Burdisso	Burdisso||1
Tidaklah aneh	weird||1
dedaunan berada	leaves||1
terdapat manusia disertai acap dipegang	humans||1
mengetahui informasi	knew||1
sedang sehat	robust||1
jumlah penerima	beneficiary||2 beneficiaries||2
pelindung politiknya Percy	Percy||1
waktu panen	harvest||1
Dekat sini	Nearby||1
berbasis keagamaan	religious||1
perikanan terbatasnya kesempatan	fisheries||1
produktivitas	productivity||28
Para ajudan	aides||1
yaitu Advanced	Advanced||1
berbagi gol Yeom gol	Yeom||1
lewat gebrakan Aala	Aala||1
dituduhkan	blamed||4
langkah 	step||1
Kontras artistiknya tempat mukim orang-orang	habitats||1
realistis kedepan semakin baik	realistic||1
diberi nama SMU	SMU||1
keputusan 	decision||1
Mempertimbangkan	Consider||5
diduga sebagai	suspected||1
Di Georgia	Georgia||1
Tetapi bukannya	Not||1
berujung para mahal para konsumen 	consumers||1
komoditas mengalami penurunan	commodities||1
mengingatkannya	reminded||2
diuangkan kembali	refunding||1
kegiatan bisnisnya	business||1
enam kali lipat obligasi administrasi bisnis skala kecil	sixfold||1
Dilaksanakan	Implemented||1
memberikan rincian penjelasan mengenai hal	details||1
juga menunggu	awaiting||1
kemerosotan	slump||2 deterioration||4
ketersediaan tersedia	available||1
kawasan etnis	ethnic||1
Sebuah bioteknologi	biotechnology||1
tim tuan bermain	side||1
putri pada kejuaraan	championships||1
Teks	text||1
kabupaten beras Raskin	rice||1
gerilyawan Iskandriya sebelah	Iskandariya||1
ISAF Afghanistan	ISAF||1
lutut menderita	knees||1
Temannya Isaac	Isaac||1
heboh	splashy||1
guna menjamin	ensuring||2
pelaksanaan musrenbang	musrenbang||1
berikutnya masih bergerak naik masih mendukungnya	ensuing||1
Anda	yourself||1 You||86 your||204 you||2 Your||9 yours||1
Tarian berbentuk	dance||1
Andy	Andy||27
menaruh	harbor||1 putting||5 put||8
Petenis Hungaria	Hungary||1
mengirim mengenai Al-Shemmari	al-Shemmari||1
mengendarai	riding||5 ride||2 driving||7
perisai	shield||5
cabang Drogoul salah	Drogoul||1
apapun	anything||27 Whatever||1 whatever||10 Any||1 everything||1 nothing||1 any||111
penelitian baik Prona	Prona||1
sementara petugas penyelamat mengangkat mayat-mayat	rescuers||1
prinsip-prinsip berikut	principles||1
anggota kelompok militan	militants||1
berkeliling menggunakan MRT Transport	MRT||1
mengatakan peluang-peluang sebagai penduduk beragama Islam	Muslim||1
Carl memiliki tingkat kemesraan terjadi	Carl||1
perakitan	assembling||1 assembly||10
materi	content||1 fodder||1 items||1 material||50 materials||22 subject||1
diakui	confirmed||1 acknowledged||12 admitted||5 admits||2 recognised||12 recognized||14
jalan melakukan mandiri dapat diverifikasi	verifiable||1
Yogyakarta Jawa Tengah	Yogyakarta||1
persen	cent||64 percent||1985 pct||7 percents||27 percentage||17
kesalahan disana	mistake||1
departemen keuangan	Treasury||16
semakin berhubungan diambil	linked||1
keracunan	poisoning||4
memperoleh dampak	affected||1
artikel-artikel	articles||2
ketika berbincang	talking||1
kecuali bila	unless||4
Kesadaran Pentingnya	Importance||1
tercapai	achieved||8 achieve||6
dikatakan Pratt	Pratt||1
atom	atoms||3 atomic||10 atom||5
menaklukkan lintasan pernah menimbulkan kenangan pahit rasa hatinya	conquer||1
stabil bentuk BEXI	Stable||1
Harta karun tersembunyi	hidden||1
Tujuh puluh	Seventy||1 seventy||1
kluster	clusters||2
Sekolah terdekat	nearest||1
Kabupaten Bojonegoro adanya	Bojonegoro||1
gelandang Hedwiges	Hedwiges||1
program perdagangan	program-trading||9
menghadapi pelanggaran	violations||1
Wales selatan	Wales||1
Indonesia APPSI Pengusaha Indonesia	APPSI||1
BKM sering ditemui	BKM||1
tetap fixedrate	fixed||1
memilih east lagoon food village	lagoon||1
pengadaan dokumen tambahan termasuk konsumsi bertugas	documentation||1
dikepalai	headed||11
galangan kapal	shipyard||7
begitu merasa	feel||2
merusak kebiasaan saya	habits||1
pendaftaran siswa	enrolment||1
komputer Asus	Asus||1
bunga kredit bank masih bunga kredit bank	lending||1
sertifikat hutang	debentures||1
darahnya	blood||5
memisahkan beliau	separating||1
tugas ruangan college-bowl	college-bowl||1
masa kuliah	college||1
ikut perahu/lampara	boats||1
Individu	Individuals||3
inti setiap darinya	nuclei||1
rumah makan	restaurants||1
jenis anggrek mekar	orchid||1
mengalahkan pegolf	scraped||1
terutama tangkapan ikan akibat pencemaran laut akibat	sea||1
lebih gelap	darker||2
Pertama kelompok makhluk hidup	Living||1
mempelai wali	guardian||1
dicincang	chopped||1
hidup akan membeku itulah bekuan terjadi	coagulate||1
RTSM sasaran	target||3
gersang	barren||1
persentase tertinggi	highest||4
Lutfi Kantor Presiden Jakarta	Lutfi||1
menyusu anak	suckling||1
Seluruhnya	All||1
kiloliter	kiloliters||4
pun kekurangan	lacks||1
trofi	trophy||8
mengutamakan pasangan	spouses||1
Memang benar	Indeed||1
serta membenarkan	confirming||1
Pemakaian tepat	proper||1
Sue adalah cara dipikirkannya	Sue||1
menaklukkan	edging||1 conquer||3 conquered||1
Indofood persetujuan	Indofood||1
kategori bahkan	category||1
menembakkan bola	firing||1
pecinta lingkungan	environmentalists||2
dikeluarkan Pemprov DKI pelaksana awalnya seperti tiang pancang	executor||1
tembakan balasan	fire||2
jurnal tempat	journal||1
pengecam melucuti kebebasan warga	liberties||1
Sheffield Wednesday	Sheffield||1
pentingnya	importance||77 crucial||1 important||18
Tokyu bukanlah	Tokyu||1
Wahana	spacecraft||1
pemilik saham	shareholder||3
agar burung	birds||1
visible  dianggap	visible||1
merupakan sebuah generasi adalah  sebutnya	generation||1
kepak	flaps||1
menentukan nasib sendiri	self-determination||1
hasil penerimaannya	revenue||1
Khusus sekitar tempat tinggal nelayan sering harus mencari luar	Particularly||1
kafe	cafes||6 cafe||1
Pasti kesal deh kalau nonton	Must||1
for JBIC berdasarkan	JBIC||1
meroket	skyrocketed||1 rocketed||1 soar||1
diinterogasi hampir setiap	interrogated||1
atas menyelam ketika	dive||1
tujuan legal	purpose||1
sebagian lain	others||4
sengat	sting||1
menetes	dripping||1
sedang buru-buru	hurry||1
Terletak	Located||3
main perempuan	womanizing||1
Jika melihat Prasejahtera Sejahtera I ditemukan	Looking||1
hari Sabat berakar kuat diri	Sabbath||1
calon kuat pengganti bekerja bagian Publikasi	most-likely-successor||1
Gambar dihasilkan	pictures||1
Unika Santo	Santo||1
penghasilan	revenue||1 yield||8 income||100 earning||1
memprakarsai	initiate||2 initiated||1
wesel	note||1 notes||3
shalat mausoleum	mausoleum||1
akuntan menghilangkan	accountants||1
Leto tentara negara adidaya	Leto||1
berisi seperangkat	contains||1
bantuan murah	cheap||1
meraih penghasilan	earn||1
bola Taye Taiwo	Taiwo||1
tahun-pertama	first-year||1
playmaker kelihatannya	playmaker||1
alasan pelemparan	excuse||1
jemaat	congregation||7 church||6
world menurun maksudnya AS	US||1
Adanya jimpitan	jimpitan||1
Alkitab Alkitab	Bible||3
sensus	Census||3 census||13
lebih ringan	Mugla||1 lighter||8
introduksi	introduction||1
mentari	sun||1
Menarik sekali	Interesting||1
Para responden	Respondents||5
Santoso mengatakan	Santoso||1
nilai tes hasil	scores||1
Nalar tak berkesadaran [atau perubahan acak]	Reason||1
menjatuhkan hukuman	sentenced||1
program beasiswa	scholarships||1 scholarship||1
sistem mirip hingga seluk-beluk khususnya	identical||1
mengabaikan	ignored||13 overlook||2 neglected||3 ignoring||7 ignore||18 discount||1 dismissing||2 neglecting||1 defied||1
mengelabui bagian	fool||1
berkumpul	gathering||3 gathered||11 gather||6 together||3 converge||2 congregate||3 huddled||1 massed||1
neraca perdagangan sebesar rand	rand||1
surat kabar The Gazette tanggapan tulus	Gazette||1
memperburuk	worsen||3 worsened||2
Jarak	distance||3 Distance||1
cara melihat sementara Sanders	Sanders||1
membatasi	limited||14 limits||6 restricted||2 restricting||1 limiting||6 restrict||5 restrictive||3 restricts||5 limit||35 constrain||1 curbing||2
kumohon	please||2
menunjukkan bidang-bidang upaya berkelanjutan	effort||1
disesatkan	misled||2
mempesona butik pilihan anda	boutique||1
secara rutin	regularly||17 routinely||15
berhenti musim musim salju bermain musim semi	spring||1
dihidupkan kembali kembali	revived||1
ingat telah	recall||1
masa lampau	past||2
bertulang	bony||2
jumlah pendaftaran	filings||1
Ayo	Come||13
