mendemobilisasikan	demobilize||1
balad kata	balad||1
penculikan dilakukan terhadap	kidnappings||1
selain sektoral pusat memakai wilayah	sectoral||1
pax christi satu anti	pax||1
pertandingan kedua nou	nou||1
justru selalu	invariably||1
leaders of the twentieth	twentieth||1
mengantungi poin poin	points||1
sebut matlock	matlock||1
melebihi diri sendiri	yourself||1
terasi	shrimp||3
ekspansif berdampak konsumsi rumah tangga-red	expansive||1
kua manajemen	kua||1
oktober beroperasi tanggal oktober	october||1
debit menyediakan layanan	debit||1
dijaga	manned||1 kept||1
memfitnah	defamatory||1
mudah menuju ada 	exist||1
para pembaca	readers||4
mungkin merasa demikian	perhaps||1
minta agar sikap sikap rakyat milisi	militia||1
juru	spokesman||1 clerk||1 lorillard||1
buruh buruh taninya	laborers||1
punya remaja selain henry	teenage||1
gugusan alor	alor||1
hal baru menyatakan mengingat serius spinal	serious||1
juri	jury||1 jurors||1
secara salah disasar	mistakenly||1
semenanjung berada	peninsula||1
pemerintah konglomerasi menjadikan dirikan	conglomeration||1
-- toko tembikar attic	attic||1
street wall street	street||1
pelanggaran apapun	wrongdoing||1
petenis muda	young||1
isinya menghina thailand	insulted||1
lembaga/individu	institutions||1
memasuki kembali	re-entered||1
kepentingan ada juga membagikan kepada unsur	divide||1
memperoleh dana kemitraan	partnerships||1
lanjutan kompetisi liga prancis	ligue||1
topi itu topi	hat||1
kompromi akan dilakukan	trade-offs||1
berakhir kemenangan millonarios atas	millonarios||1
faks	fax||1
aset-aset meningkat	escalated||1
mather	mather||8
diseret	dragged||1
adanya penyimpangan	deviations||1
tanda biasa	usual||1
kuisioner	questionnaire||1
diukur melalui	measured||1
akta pernikahan	marriage||1
kedengarannya	sounds||1 sounded||1
mengalami kenaikan	rise||1
karenanya ramuan suatu dosis	dosage||1
pasukan-pasukan angkatan laut	naval||1
girl ada informasi setiap	girl||1
bocor	leak||2 leaked||2
para staf	staff||5
jal nippon corp corp	nippon||1
menyukai melalui online	online||1
dampak namun hal dikompensasi negara-negara 'emerging market' jelasnya	compensated||1
papar	declares||2
seseorang dilakukan	perpetrated||1
antariksa	aerospace||1 space||1
mengganjal yabunaka	yabunaka||1
setim niklas	niklas||1
apabila berbagai ketidakakuratan penerima mistargeting	mistargeting||1
pemagaran	fencing||1
perekonomian keseluruhan	economy||1
panas	summer||3 hot||25 heat||31
menyesuaikan	adjusted||3 adjust||15 adjusting||6 tailoring||1 adapt||4
senyum lebar	smile||1
dihiasi kristal murano lampu	murano||1
keterlambatan keterlambatan	delays||1
pengangkutan cif	cif||1
hasil pemanasan	heating||1
pbb kejahatan narkoba	drugs||1
kesuksesan	successes||1 success||1
tanyalah diri anda sendiri	yourself||1
negeri paman	uncle||1
antaranya adalah botanic	botanic||1
menyediakan saluran pengaduan menyediakan saluran pengaduan	channel||1
kecamatan setu	setu||1
lelakinya bocah melakukan telanjang sebanyak	naked||1
sendiri masyarakat lokal masyarakat setempat	locals||1
bakar	fuel||4 grilled||1
pelabuhan	harbor||1 seaport||1 port||1 harbour||1 ports||1
irama	rhythm||1 tune||1
menghisap	suck||1 sucked||1
nabi apa	prophet||1
benzena	benzene||1
pemerintahnya	administration||1 governments||1
menghapuskannya khusus non pokok	non-principal||1
evolusionis jlbsmith mengatakan kalaupun	jlbsmith||1
inspektorat	inspectorate||1
wahana cassini	cassini||1
terjadi kerusuhan massal	riots||1
tambang bekas beroperasi	mining||1
pawai	rally||1 marches||1
nepal girija	girija||1
obligasi tolak ukur	benchmark||2
terus terang volpe	volpe||1
ima memberikan	ima||1
petugas aparat	officials||1
monitoring	monitor||5
faksi menandakan perebutan faksi	factions||1
kohlschreiber disebutnya memberinya saat	kohlschreiber||1
tentara etiopia menaklukkan kubu kotanya gerakan	vanquished||1
sustainability topik	topics||1
usulan china mengacu	referred||1
optimal	optimal||15 optimally||3 optimum||8 optimized||1
inkonstitusional	unconstitutional||1
pda diperlukan	necessary||1
apakah berupa hasil buruk pengkhianatan	betrayal||1
nias meningkatkan kemiskinan	nias||1
savidan skor bermain selama	savidan||1
sebenarnya menurut	according||1
dapatkan cokelat	chocolate||1
dilakukan yaitu penyiapan	executed||1
badan-badan	organisations||1 agencies||2
penduduknya bekerja	employed||2
menempuh	travel||1
partai-partai	parties||1
melaksanakan rakor regional cipanas	cipanas||1
diegas dituduh	diegas||1
laporkan awal tahun	year-earlier||1
interaksi hanya	interaction||1
menulis surat	wrote||1
panggung atau mimbar	onstage||1
ditunda	cancelled||1 suggests||1 postponed||1 delayed||1
ataupun	or||1 nor||1
sementara tetap	permanent||1
bsd beberapa pasar tabloid	tabloid||1
melawan teroris	terrorism||1
pengusaha pabrikan	manufacturers||1
mendalam terhadap	in-depth||8 deeper||1
terdapat ada areal tsi	tsi||1
pemerintah mutu kebijakannya	goverment||1
mendasar masalah	underlying||1
merusak merupakan hasil kerja	distructing||1
ledakan kata para saksi mata	witnesses||1
peredaran	circulatory||4 distribution||1 circulation||4 turnover||2
seorangpun	one||2
angka-angka persentase dihitung berdasarkan pengidentifikasian keluarga	percentages||1
perasan	juice||1
satunya kata chuji wanita	chuji||1
absen karena lutut	knee||1
semakin tenggelam	drowning||1
menyerbu lokasi	raided||1
lamanya berdiri yaitu colinas	colinas||1
babak sistem gugur	knockout||1
banyak penelitian	research||1
quayle bagian	quayle||1
putusan	decision||1 verdict||1 ruling||1 award||1
berangkat	leave||1 go||1 leaving||1 departed||1 departing||1
kembali tabungan	saving||1
korban pihak	casualties||1
kronologi pemanasan bumi	chronology||1
swadesi	swadesi||4
hasil belajar matematika makin	mathematics||1
laki-laki perempuan	women||1
klub utama inggris	premier||1
segelintir sayur-sayuran mengusahakan	vegetables||1
dollar-yen mencatatkan	dollar-yen||1
tes laboratorium	laboratory||1
saya saya saya	i||1
villas menikmati hidangan khas	villas||1
ton andesit	tons||1
berkoordinasi	coordinate||5
jambi terdapat	jambi||1
baik jajaran luas	broad||1
latin sangat membahayakan kesinambungan fiskal anggaran pemerintah	america||1
berusaha	striven||1 attempt||5 tried||52 seeking||14 attempted||15 struggles||1 try||45 labored||1 trying||97 seek||23 strive||4
dengan indah	beautifully||2
bervariasi	mixed||1 varies||1 vary||1 varied||1 varying||1
perumpamaan menceritakan	parable||1
oktober lalu	october||11 oct||4
membiayai perlindungan	financed||1
amnesti	amnesty||1
jangan pernah lelah bersikap adil jangan alami merusak hubunganmu	never||1
simpan	stored||2 keep||1
universitas jambi-unja	jambi-unja||1
menuju ke	toward||1
seleksi seleksi alam	selection||1
esia hidayah mengusung	hidayah||1
kram	cramps||1
berasumsi bahwa	assume||1
bus juve sepak bola sehingga tertabrak kata polisi	juve||1
berbeda diberlakukan pun	differ||1
pengguna pengguna	users||1
kembali menurunkan	lower||1
pembentukan kelompok	groups||2
mendapat nilai tambah besar	value-added||1
berkompetisi	competes||1 compete||1 competed||1 competing||1
dunde dataran tinggi es	plateau||1
serahkanlah dirimu	yourselves||1
lebih lama	longer||33
zonasi	zoning||1
terhadap emery	emery||1
anak-anak	sons||1 kids||1 children||1 kid||1 child||1
penyerbuan	raid||4
coba	try||5 trying||5 let||1 tried||5
lewat ontario	ontario||1
diri kita	ourselves||14 us||13
namun ada pengecualian	exceptions||1
kawasan asean 	asean||1
menyusul antara	following||1
terlibat	engaging||3 engage||9 involved||1 concerned||2 engaged||20 involve||3 involvement||11
punya keluhan	complaint||1
hak-hak wajib pajak penaksiran	taxpayers||1
perusahaan kegunaan	utilities||2 utility||1
menaikkan jumlah	raised||1
punya hari	days||1
tiang gawang	crossbar||1
menginginkanmu	want||1
agen cia	cia||2
version kata keutuhan hati	version||1
agrikultur	agriculture||1
mencetak gol	scored||1 scoring||1 score||1 goal||1
cisse	cisse||1
pengetahuan	science||1 scientific||2 insight||1 knowledge||1 insights||1
beberapa perancis	french||1
tulus	sincere||3 genuine||1 negotiations||1
bolmong sebenarnya menyangkut terdiri	bolmong||1
amanda	amanda||3
terdekat tempat	nearest||1
makin permanen	irreparable||1
mendapatkan peminat	gained||1
pemerintahannya susenas jumlah tinggal	susenas||1
wanderers	wanderers||1
kuznetsova	kuznetsova||26
sedangkan tangyuan	tangyuan||1
tbk jakarta	tbk||5
pemusatan	centralization||1
battier menyumbang	battier||1
dilakukan secara fleksibel	flexible||1
menghantarkan	transfer||1
sebagaimana	as||88
kuat	strongly||1 solid||1 stronger||1 strongman||1 powerful||1 tacit||1 hardy||1 strongest||1 mighty||1 robust||1 strong||1
secara intern	internally||1
para nabi	prophets||2
bawah sumpah	sworn||1
tangani sebut burr	burr||1
laut tengah	mediterranean||1
gemayel menuduh	accusing||1
bunganya bunga	interest||1
urbanisasi telah disediakan	urbanization||1
rencana-rencana	plans||1
open	open||10
city	city||58
almquist pernah	almquist||1
si ibu	mom||1
laga persahabatan internasional	friendly||1
tim socceroos itu bertemu	socceroos||1
ukm	sme||11 smes||5
lewatkan bersama dampak hidup anda	impact||1
maksud dicapai melalui pengembaraan	accomplished||1
kehilangan servis	losing||1
betina	females||1
menurut dia krisis keuangan	crises||1
beting	shelf||2
kelonggaran kepadanya saat melanggar	dispensation||1
irigasi	irrigation||45 irrigated||1
menggelapkan berusaha memulihkan diri genosida atau sebuah golongan	embezzling||1
penghilangan	removal||1
tersandung	stumbled||1 stumble||1 tripping||1
lawatan	trip||3
transparansi kurang memadai	transparency||1
konyol	ridiculous||1
disesuaikan konteks	context||1
sumbangan (spk)	contributions||1
antik	antique||3
dengan penuh semangat ruu	vigorously||1
welch telah	welch||1
piagam bentuknya	charter||1
asosiasi serikat namun	associations||1
sakramen	sacrament||1
wajar tergantung menemani	accompanies||1
gottlieb menyurati	gottlieb||1
russia	russia||1
percayalah	trust||4 believe||1
boikot tetap	boycott||1
temui ajak sini peduzzi	peduzzi||1
menjualnya malaysia	malaysia||1
saling bertukar	exchanged||1
guinness book of	guinness||2
mengembalikan pengawas keuangan	comptroller||1
hukum	justice||1 legally||1 law||1 legal||1 laws||1
kompetensi	competency||2 competence||1
tinggal mengharapkan piala	rests||1
daun kelapa	leaves||1
perangkat menjanjikan antaran nirkabel	wireless||1
sisi-suplai	supply-side||1
massa	mob||1 masses||2 mass||27
ada kemungkinan seorang fk	fk||1
fasilitas banyak menyita urusan	facilities||1
perlawanan keras	resistance||1
chechnya ruslan	ruslan||1
golan	golan||1
pemeliharaan gudang	maintenance||1
kondisi infrastruktur jalan buruk masih penghambat perdagangan	road||1
hiperinflasi	hyperinflation||1
tampak jelas	evident||1
memutuskan harus menentukan	decide||1
memonopoli pemain kemampuan	monopolize||1
ketidakefisienan	inefficiency||1
kuarsa	quartz||2
cadangan batubara	coal||1
membatalkan tawaran	scuttle||1
penilaian penilaian	assessment||1
membalasnya lemah lembut	gentleness||1
dua gol	two-goal||1
kelumpuhan	paralysis||1
fosfor	phosphor||1
dulu selalu	always||1
pengait	hooklets||1
direncanakan tiba	arrive||1
adalah bahwa afiliasi ternyata menjadi	affiliation||1
peluit	whistle||1
juara tujuh	seven||1
mendorong minat terhadap profesi guru	profession||2
kondisi berbelanja	conditions||1
negara bagian uttarakhand	uttarakhand||1
tewas adalah orang-orang pakistan	pakistanis||1
biro humas depkeu samsuar	samsuar||2
menjalani hukuman	sentencing||1
menyingkirkan pengaruh kerajaan	monarchy||1
penderita sad menjalani	sad||1
mengenai cara ketiga	third||1
pembicara tamu bandingannya nash 	nash||1
belasan	dozens||4 dozen||3
jangka-pendek	short-term||2
bervariasi antarwilayah	varied||6
dipercayakan	entrusted||1
proyek kontraktor pembangunan fisik proyek	projects||1
adakan	held||1
jumlah kompensasi deviden	payouts||1
petenis swiss	swiss||2
fotografi	photographic||1
tidak sanggup	unable||1
setahun	annually||1 year||2
saat awal	outset||1
cemara	pine||1
imagine cup	imagine||1
malouda mengambil	malouda||1
menyebabkan berkurang	abating||1
bagi sebagian orang tua	parents||1
perusahaan tol	toll||1
keperluan adat	customary||1
pun selamat	saved||1
kata yadav	yadav||1
the edge account	edge||1
perda nantinya mengatur	regulate||1
pujian dari annie	annie||1
tanda pengenal	identification||1
berkuasa	powerful||8 reigning||2 power||4 ruling||20
dengan bijaksana	wisely||1
carlyle cukup sukses	carlyle||1
agen kata	agency||1
konsesi tahap	concessions||1
mengungkapkan melengkapi  sebut	complete||1
pemeliharaan perdamaian	peacekeeping||2
masa datang	future||1
kini pembiayaan kpr jahja	kpr||1
kepemilikan milik	ownership||1
mickael waktu pertandingan	mickael||1
pesawat dialihkan	plane||1
berkerut-kerut	wrinkles||1
sedangkan sporting diperhitungkan sisa	sporting||1
lulusan jumlah lulusan	graduates||1
pasaran	market||1
terkena tidak terduga	unexpected||1
tepung	flour||9
dan gelapnya lalat mendarat	uninviting||1
konsep suatu sama	concepts||1
perubahan pertama	changes||1
apa corry	corry||1
pembangkit	plants||2 plant||6 power||1 generating||2 station||3 generators||3
bersimpati kepada menang	wins||1
upaya bertahan hidup	survival||1
dipungut biaya apa	fee||1
kali seminar	seminars||1
penyedia baik	both||1
kontraktor memang dipermasalahkan	contractors||1
seharga	costing||1
berpikir harus sarjana media	media||1
berinvestasi atas gangguan terjadi akhir-akhir	upsets||1
menghadapi kesulitan memenuhi	hardship||1
tentang huru-hara cina sangat	turmoil||1
perpindahan kontroversial	controversial||1
beranggotakan	members||1
terdapat trend	trend||1
bersifat kompleks	complex||1
paris teman-teman konferensi	paris||1
langsung akrab sesuatu	something||1
kemungkinan slovakia	slovakia||1
buaya mengeluarkan	crocodile||1
menghormati sesama	honoring||1
dongeng-dongeng rakyat akan menjadi populer saat	folklore||1
rindu pengubah pembentukan agen pengubah	agent||1
melemah ujarnya	weaken||1
persoalan kurang efisien	inefficient||1
saling kait	interlock||1
konspirasi	conspiracy||1 conspiracies||1
mans	mans||13
mengadakan rutin	routine||1
melakukan amandemen	amendment||1
tandy subsidiary	tandy||1
mana	where||1 which||1
menjamu hertha laga	hertha||1
rfef menggunakan stadionnya	rfef||1
bagaimanakah kita masih dapat dalamnya	it||1
anderson mengalami	anderson||1
undang-undang enrique	enrique||1
for a feminist majoritytelah	feminist||1
bioteknik menentang	biotechnical||1
kejadian menimpanya pemain sepak bola internasional	incident||1
pencapaian mdg	mdgs||1
kata panglima jendral	commander||1
ansf pengertian biasa memburu	ansf||1
parcher bomnya berada terakhir 	parcher||1
mengidentifikasi identitas	identify||1
dihubungkan tujuan	purpose||1
orang bersenjata	gunmen||1
paktiawal	paktiawal||1
film-film terkini	movies||1
dinosaurus berusia sekira	dinosaurs||1
semifinal kalinya	semi-final||1
memberikan lebih	greater||1
mengendalikan kegiatan	curb||1
cenderung berkurang	decreased||1
antarlembaga masih terkendala menyeluruh	complete||1
kata wenger	wenger||1
terkering	driest||1
bangunlah	rise||1
lapisan endapan	sediment||1
mengabaikan berkat disediakan-nya	blessing||1
pelelangan	auction||19
malah kashima nyaris	kashima||1
pemesanan reno	reno||1
seorang penipu	deceiver||1
bakat alaminya	gifts||1
ke sini berjudi	gambling||1
kekasih seorang	lover||1
takut	afraid||1 fearing||1 fearful||1 scared||2 fears||6 worried||2 fear||1 frightened||1 feared||5
kerugian drexel	drexel||1
pertandingan champions	champions||1
membuat gudang	warehouse||1
hati nurani murni sebab	conscience||1
hambatan	obstacles||1 resistance||3 roadblock||1 obstacle||1 barriers||13 constraints||10
terdapat lptk lptk menginduk	lptk||1
unika santo	santo||1
sedang dihukum cicinho	cicinho||1
batasan tidak jelas	unclear||1
glaser ibu berasal	glaser||1
lalulintas	traffic||1
upaya identifikasi anggota jpk-gakin diterapkan dimulainya	identification||1
memimpikan	dream||1
menggunakan teknologi sederhana petambak udang	shrimp||1
berbentuk koperasi	cooperatives||1
evolusi	evolution||1
aluminium	aluminum||1
agar bagi pengguna internet	internet||1
acara pertukaran perancang busana satu sama lain	exchange||1
gedi belum	gedi||1
ketentuan coniston	coniston||1
diplomasi diplomasi	diplomacy||1
kawakan unificationist	unificationist||1
kasus	case||1 cases||1 footage||1
lahan garapan	arable||1
wirausaha	entrepreneurial||1
sang pria mengerti pentingnya seumur hidup	lifelong||1
langkah kebijakan	steps||1
perbedaan-perbedaan perbedaan	differences||1
licik	sneaky||1
kedua	both||1 second||8 the||3 two||70 secondly||33
licin	slippery||1 slick||1
al-muhamadawi agar melancarkan	al-muhamadawi||1
cukai rasa takut hormat	respect||1
on roe on	roe||1
ini dalam pertemuan para meluncurkan kembali usul sungai jordan	relaunch||1
umumnya informan sekarang dilaksanakan	generally||1
oven gelombang mikro	microwaves||1
punya fellow leeza	leeza||1
menganalisis ingin dicapai	analyzing||1
prosthesis berupa sebuah berbahan	prosthesis||1
hara dosis	dose||1
dikatakannya sejalan program ekstensifikasi perpajakan basis koperti basis profesional	taxation||1
satu nasional national	national||1
sinema	cinema||1
jaminan	warrants||1 security||7 insurance||1
dia perkiraan	forecast||1
nikmati minuman	drinks||1
belajar murid	student||1
kali berturut-turut menjelang	row||1
manajemen kantor jasa	management||1
tomo wanita	tomo||1
pemirsa	audience||2 viewers||2
kelima set	fifth||1
action mencari kerusakan obat penyembuh	damages||1
tujuh hari	seven-day||1
melambat	sluggish||2 slowed||9 slow||12 slower||2 slowing||6
rumah mereka	home||1
aca melakukan	aca||1
saham ekuitas	equity||1
akan tetapi beberapa provinsi	provinces||1
bernilai penting	valuable||1
setelan	suit||6 suits||4
setelah	when||1 after||1 upon||1 following||1 aftermath||1 having||1 once||1
surabaya bes	surabaya||1
telekomunikasi meteorologi	meteorological||1
menyebutnya perjamuan kawin anak domba	lamb||1
masterfoods pembuat gula-gula memegang merk	confectionery||1
mutasi	mutations||1 mutation||1
mengucapkan selamat kepada mereka	congratulate||1
dijadikan contoh model serupa	models||1
yaki semacam	yaki||1
adanya para pelaku	doers||1
menakutkan bahaya mengancam	dangers||1
bersahabat	friendly||14
utama travelers	travelers||1
buletin para penyelenggara banyak memuat ulasan mengenai hal-hal	bulletin||1
definisi lebih tajam	sharper||1
mayoritas besar	majority||1
permasalahan berkembang	evolve||1
proliferasi	proliferation||1
melambaikan	waving||1
siapakah	whom||1 who||2
penjualan suzuki selama periode	suzuki||1
fletcher baru memiliki beberapa	fletcher||1
kinali mana	kinali||1
dari	of||1 out||1 from||1 than||2 in||1
dara	virgin||1
pengembalian dana	refund||1
pembawa pesan	messenger||1
pisang	banana||7
bursa mendapatkan porsi	gaining||1
para jaksa	prosecutors||3
medical american medical	medical||1
~~~ jangan heran jika boleh saja pantas	reasonable||1
iklan acara berita prime-time	prime-time||1
pewawancara	interviewer||1
mengejutkan	startling||1 surprising||24 staggering||1 caught||2 shock||8 astounding||1 surprisingly||2 shocked||3 surprises||1 surprise||24 shocking||1 surprised||9 shocks||1
seberang perang omanthai merupakan	omanthai||1
angkat senjata demi kemerdekaan tanah air suku	homeland||1
universitas andalas	andalas||1
berkenaan potential loss perhitungan	calculations||1
organisasi jamaatul nmb dituduh	jamaatul||1
inter	inter||1
mengadakan perjalanan	travel||1
dinyatakan lunas	settled||1
kesabaran antara	patience||1
pesan pendek (sms)	sms||1
keturunan	offspring||1 descent||1 descendants||1
krishna sang	krishna||1
penduduk sipil	civilian||1 civilians||1
hal sedemikian rumit ter-perinci bisa melakukannya	delicate||1
penganiayaan bukanlah bahan tertawaan	persecution||1
genoa diperkuat	genoa||1
hybrida	hybrid||1
juli depan	july||1
prix season singapore tanggal	prix||1
menceritakan bahwa neneknya termasuk memberikan	grandmother||1
masalah musim	seasonal||1
pasar-pasar	markets||1
luarnya	outer||1
kalangan software	software||1
menyelidiki temuan lain	investigating||1
ban motor dibutuhkan dana	tyres||1
duta besar	ambassador||3
diumumkan	released||2 disclosed||6 announced||65
kreativitas keaslian	creativity||1
mengurutkan	rank||7
remaja	teen||1 teenage||1 teenagers||1 youth||1 teenager||1 teens||1
hendaklah perkataan mengucap syukur	let||1
halus	subtle||1 delicate||1 capillaries||1 glossy||1
logam rubidium	rubidium||1
menarik kembali	withdraw||2
biaya sampingan kegiatan-kegiatan	costs||1
pelatihan ditambah	training||1
bersifat massal massal	mass||1
nzaid melaksanakan	nzaid||1
suami biasanya terjadi	husbands||1
pembela konsumen	consumer||1
jika ingin mendapatkan cianjur	cianjur||1
berabad-abad	centuries||4
memiliki nihad	nihad||1
pensiun hari tua pensiun	pension||2
sedang berkembang	developing||9
kesempatan	chances||15 occasions||3 opportunities||73 chance||1 formats||1 occasion||8 opportunity||134
bekerja purna waktu koordinator utama bagian	coordinator||1
terjadi adalah sebaliknya	opposite||1
cech punya pertandingan	cech||1
aib malu	disgrace||1
pertandingan berakhir	stoppage||1 expired||1
pengakuan tentang	recognition||1
upkd upkd	upkd||1
compaq mengakui	compaq||1
berminat	interested||1
sang petani	farmer||1
kerugian nyata lainnya yakni terpuruknya citra bernilai bei	ise||1
guillermo garcia-lopez	guillermo||1
memperdaya	beating||2
kemudian dipanggil kembali	recalled||1
sedang memprotes	protesting||2
seperlunya	necessary||1
makan	feed||5 dine||1 feeding||6 eating||18 consume||1 eat||52 food||40 eats||4 meal||7 dining||9 ate||6 eaten||1 meals||6
makam	tomb||1 tombs||1 grave||3
berbagai kesimpulan	conclusions||1
tuan scotto baru-baru baru	scotto||1
dihilangkan	omitted||1 eliminated||3 removed||3 dismissed||2
bisa diterima oleh oakes	oakes||1
kakaknya lebih bijaksana	wiser||1
pertanyaan sama	questions||1
alami melalui proses	natural||1
kapasitas	capacities||1 capacity||1
kapal perang siluman	warships||1
semakin besar kekaguman para pengamat karena	observers||1
kapal-kapal meriam	gunboats||1
neoliberalisme	neoliberalism||1
bertandang ke	visit||6
menyeimbangkan	balance||1 balancing||1
guna memprotes	protest||1
sebagai intelektual akademik	intellectual||1
industri pengembalian satu lebih lama 	longer||1
kemungkinan asing	foreign||1
senang melibatkan diri perayaan suatu saat	celebration||1
cermin seolah-olah ingin dilihatnya cermin dirinya sendiri	mirror||1
tetapi komisi hanya memberikan porsi	commissions||1
cip video sudah terpasang	video||1
membalaskan	pulled||3
belu diberlakukan	belu||1
sasaran target	target||1
angka pasti	exact||1
berpendidikan	educated||1 education||1
memadukan	integrating||1 combining||1
dokter praktik	practitioner||1
al-shemari atas mendesak wakilnya	al-shemari||1
keluarga keluarga miskin	families||1
mengimbau agar	urged||1
konsumen secara	customers||1
merkurius menyusut	mercurius||1
cara sehat	healthy||1
peraturan  kata	rules||1
hal belis anak mereka	belis||1
mempertahankan peluang mempertahankan	maintained||1
abimelekh	abimelech||1
pegolf dari boo	boo||1
saya puncak pemakaian listrik kata	peak||1
menghindari kecemburuan	jealousy||1
sifatnya mengikat para penunggak upkd berbadan	binding||1
terkasih	dear||1 beloved||1
indikasi mengenai	indication||1
beranggotakan enam negara	six-nation||1
kandang blackburn	blackburn||1
segala tulisan diilhamkan	all||1
bangsa inggris	british||1
stok obat	medicines||1
rasa hormat	respect||1
reksa dana sehingga pemodal pulih pertumbuhan reksa dana kualitas	recover||1
keseluruhan	entire||20 all||3 total||33 overall||52 whole||33
coors memimpin	coors||2
umur diharapkan	expected||1
kalau perempuan	girls||1
kelompok jenjang peserta	participants||1
mengisolasi	isolate||6 isolating||1
kesempurnaan hikmah	perfection||1
sehat secara mental	mentally||1
penurunan menurun penurunan	decrease||1
tahu 	tell||1
terkejut	astonished||1 surprise||2 surprised||1 appalled||1 shocked||1
publiknya pertama-tama berbicara staffnya	speaks||1
finansial	financially||5 financial||143
rimbun	lush||1
lima tahunnya	five-year||1
kelompok pemuda	youths||1
lain cedera tambah	wounded||1
sediakan	provide||4 supplied||1
mengenai sikap	attitudes||2
menghadap takhta pengadilan supaya patut diterimanya dilakukannya hidupnya jahat	bad||1
mainkan	play||1 plays||1 played||1
menggunakan aerodinamik	aerodynamic||1
semula kini gerbens	gerbens||1
pertengahan pekan	midweek||1
bergerak bidang advokasi	advocacy||1
menangis pedih	weep||1
mendapat persetujuan	approval||1
aktivitas sehari-hari menyediakan berdoa membuat	prayer||1
kepolisian hokkaido	hokkaido||1
lembab	humid||2
dominique voynet	voynet||1
usaha penangkapan ikan	fishing||1
bergegas menyusuri guna bersamprokkan piranha	piranha||1
diawali	begins||1
masa	presidency||1 days||1 times||1 future||1 period||1 era||1 time||1 the||1 childhood||1
itu memang sudah terjadi jangan salahkan	are||1
dibangunnya feri	ferry||1
di dalam dalam	in||1
pengumpulan	collecting||8 gathering||3 solicitation||2 collection||1
lebih lanjut anwar menjelaskan penerapan mengurangi gap atau ketimpangan	anwar||1
adam	adam||21
goran	goran||1
bakrieland elty	bakrieland||2
jelas terpilah kelompok pro	pro-||1
mengingat secara	recalling||1
ps of	ps||4
jurnalis	journalists||6 journalist||4
kelulusan	graduation||1
persepsi	perception||1 perceptions||1
perangkat lunak cspro	cspro||1
foto-foto	photographs||1 photos||1 images||1 pictures||1
tuntutan uang tebusan	ransom||2
monyet	monkeys||2
menginfeksi	infect||1
profesional	professionals||12 pros||3 professional||2
al-haram asy-syarif	temple||1
penerbitan berhasil	issuance||1
kekeliruan perhitungan cukup mendasar	accounting||1
kelompok-kelompok penjahat	bandits||1
rapat	meetings||40 meeting||1 tightly||2
keabsenan implikasi terhadap kebijakannya	implications||1
asumsi makro diajukan	assumption||1
ibu kota	capital||1
kehadiran kepala lutfi	lutfi||1
ayub pernah;	job||1
asal italia	italian||7
kadang-kadang  	sometimes||1
diare	diarrhea||1
pemisahan	isolation||1
temani	accompanies||1
bertujuan penggumpalan pada tubuh musuhnya	enemies||1
sentral pusat	central||1
projek	project||1 projects||2
filum pastilah bertambah	phyla||1
kerumitan ada	complexities||1
memutuskan memperbaiki	repaired||1
menoleh	looked||3 look||1
daniel raja daniel	daniel||1
tumor malah	tumor||1
lagi-lagi pengusaha mikro	businessmen||1
'care' peduli	cares||1
mensinkronkan	synchronize||1
wajib diangkut	transported||1
tes matematika hasil tes	math||1
atase koneksi secara rahasia sekali rekam	connection||1
jbic pinjaman lunak	jbic||1
penalti serius	penalties||1
boalemo merupakan pemekaran terluas	boalemo||1
pbb	un||1 u.n.||1
dan lainnya	etc||1
pelik	complicated||1 delicate||1
pembuatan arpanet	arpanet||1
legalisasi surat-surat	documents||1
kecamatan cimanggis	cimanggis||1
perburuhan internasional ilo menunjukkan	ilo||1
anak perusahaan hanjaya	hanjaya||1
kuncinya ini	here||1
peraturan/instrumen legislatif tersedianya	legislative||1
lebih berimplikasi masyarakat	communities||1
ekonominya	economic||23 economy||11
schiavone set pertama schiavone selalu	schiavone||1
sedang berlangsung	ongoing||6 underway||3
bersaksi	testified||1 testify||1
kota-kota mahawil	mahawil||1
atas tunisia	tunisia||1
teknologi menggunakan	technologies||1
jaman prasejarah	prehistory||1
para kepala	heads||5
bagian-bagian bagian saja	parts||1
sanksi atas kelalaian penyampaian sebagaimana tercantum	sanctions||1
dibutuhkan memaksimalkan	maximize||1
terus sepenuhnya bergantung	dependent||1
menurut asal	origin||1
diaktifkan	activated||5
penyataan dilontarkan schreyer	schreyer||1
turun tertekan	stressed||1
inco kuncoro kesempatan sama	kuncoro||1
menempati urutan beda hirvonen	hirvonen||1
memperbaiki kekacauan menetapkan	chaos||1
kapitalisasi	capitalization||1
assembly komputer	computers||1
simulasi terhadap	simulation||1
dua berjalannya	twice||1
mamalia besar 	mammals||1
fiorentina	fiorentina||23
digelar situs cari terungkap situs	sites||1
banjar menilai	banjar||1
pelancong	tourists||1
pengeluaran sudah	expenses||1
clos menjelang pertandingan berakhir	clos||1
diperkirakan sekitar	estimated||3
chomp chomp pelosok singapura	chomp||1
dicurigai	suspected||11 suspects||2 alleged||2
atap rumbia	roofs||1
rate kembali	rate||1
semua tuduhan	allegations||1
suplemen	supplement||1
diberikan ditentukan	determined||1
urusan menyangkut	matters||1
direndahkan barangsiapa ia ditinggikan	exalted||1
pihak georgia-pacific	georgia-pacific||1
gawat darurat	emergency||1
